ID,Name,Species,Age,Category
CVCL_5239,1205Lu,Homo sapiens,37Y,Cancer cell line
CVCL_2270,143B,Homo sapiens,13Y,Cancer cell line
CVCL_0112,16HBE14o-,Homo sapiens,1Y,Transformed cell line
CVCL_0113,1HAEo-,Homo sapiens,Age unspecified,Transformed cell line
CVCL_A062,201B1,Homo sapiens,36Y,Induced pluripotent stem cell
CVCL_A063,201B2,Homo sapiens,36Y,Induced pluripotent stem cell
CVCL_A064,201B3,Homo sapiens,36Y,Induced pluripotent stem cell
CVCL_A065,201B6,Homo sapiens,36Y,Induced pluripotent stem cell
CVCL_A324,201B7,Homo sapiens,36Y,Induced pluripotent stem cell
CVCL_1045,22Rv1,Homo sapiens,Adult,Cancer cell line
CVCL_1046,23132/87,Homo sapiens,72Y,Cancer cell line
CVCL_C102,243H1,Homo sapiens,,Induced pluripotent stem cell
CVCL_C103,243H7,Homo sapiens,,Induced pluripotent stem cell
CVCL_C243,246G1,Homo sapiens,<1M,Induced pluripotent stem cell
CVCL_C244,246G3,Homo sapiens,<1M,Induced pluripotent stem cell
CVCL_C245,246G4,Homo sapiens,<1M,Induced pluripotent stem cell
CVCL_C246,246G5,Homo sapiens,<1M,Induced pluripotent stem cell
CVCL_C247,246G6,Homo sapiens,<1M,Induced pluripotent stem cell
CVCL_7935,253J,Homo sapiens,53Y,Cancer cell line
CVCL_8469,293-Kb,Homo sapiens,Fetus,Transformed cell line
CVCL_V648,293sars181A,Homo sapiens,Fetus,Transformed cell line
CVCL_0V13,293T GNE,Homo sapiens,Fetus,Transformed cell line
CVCL_RU09,293T R-Spondin1 expressing,Homo sapiens,Fetus,Transformed cell line
CVCL_BT02,2BS,Homo sapiens,Fetus,Finite cell line
CVCL_LM95,3AB-OS,Homo sapiens,7Y,Cancer cell line
CVCL_UN11,3PNF_FiPSsv_PM_2,Homo sapiens,8Y,Induced pluripotent stem cell
CVCL_UN12,3PNF_SiPSsv_MM_11,Homo sapiens,8Y,Induced pluripotent stem cell
CVCL_K092,409B2,Homo sapiens,36Y,Induced pluripotent stem cell
CVCL_DP60,414C2,Homo sapiens,36Y,Induced pluripotent stem cell
CVCL_6357,451Lu,Homo sapiens,22Y,Cancer cell line
CVCL_T791,45400,Homo sapiens,16Y,Induced pluripotent stem cell
CVCL_DQ05,457C1,Homo sapiens,16Y,Induced pluripotent stem cell
CVCL_8052,537-mel,Homo sapiens,,Cancer cell line
CVCL_0126,5637,Homo sapiens,68Y,Cancer cell line
CVCL_IN61,56FHTE8o-,Homo sapiens,Fetus,Transformed cell line
CVCL_2291,59M,Homo sapiens,65Y,Cancer cell line
CVCL_UN13,5PNF_TDiPSsv_MM_4,Homo sapiens,10Y,Induced pluripotent stem cell
CVCL_UN14,5PNF_TDiPSsv_PM_6,Homo sapiens,10Y,Induced pluripotent stem cell
CVCL_8054,624-mel,Homo sapiens,,Cancer cell line
CVCL_H722,6647,Homo sapiens,14Y,Cancer cell line
CVCL_IN62,6CFSMEo-,Homo sapiens,,Transformed cell line
CVCL_UN15,6PNF SiPSrv_PM_2,Homo sapiens,33Y,Induced pluripotent stem cell
CVCL_1050,769-P,Homo sapiens,63Y,Cancer cell line
CVCL_VR30,786-M1A,Homo sapiens,58Y,Cancer cell line
CVCL_VR33,786-M2B,Homo sapiens,58Y,Cancer cell line
CVCL_1051,786-O,Homo sapiens,58Y,Cancer cell line
CVCL_VR34,786-TGL,Homo sapiens,58Y,Cancer cell line
CVCL_UN16,7PNF_SiPSrv_PM_12,Homo sapiens,66Y,Induced pluripotent stem cell
CVCL_1053,8305C,Homo sapiens,67Y,Cancer cell line
CVCL_1054,8505C,Homo sapiens,78Y,Cancer cell line
CVCL_U405,9HTEo-,Homo sapiens,,Transformed cell line
CVCL_0131,A-172,Homo sapiens,53Y,Cancer cell line
CVCL_1058,A-204,Homo sapiens,1Y,Cancer cell line
CVCL_0132,A-375,Homo sapiens,54Y,Cancer cell line
CVCL_S186,A-382,Homo sapiens,10Y,Cancer cell line
CVCL_1055,A-427,Homo sapiens,52Y,Cancer cell line
CVCL_0037,A-431,Homo sapiens,85Y,Cancer cell line
CVCL_1056,A-498,Homo sapiens,52Y,Cancer cell line
CVCL_0023,A-549,Homo sapiens,58Y,Cancer cell line
CVCL_0080,A-673,Homo sapiens,15Y,Cancer cell line
CVCL_1065,A-704,Homo sapiens,78Y,Cancer cell line
CVCL_4733,A-875,Homo sapiens,40Y,Cancer cell line
CVCL_1059,A2058,Homo sapiens,43Y,Cancer cell line
CVCL_0134,A2780,Homo sapiens,Age unspecified,Cancer cell line
CVCL_TZ68,A2780-M,Homo sapiens,Age unspecified,Cancer cell line
CVCL_D157,A2780/ACRP,Homo sapiens,Age unspecified,Cancer cell line
CVCL_0135,A2780/CP70,Homo sapiens,Age unspecified,Cancer cell line
CVCL_1941,A2780ADR,Homo sapiens,Age unspecified,Cancer cell line
CVCL_1942,A2780cis,Homo sapiens,Age unspecified,Cancer cell line
